section,mask_id_xenium,mask_id_cz,match_iou,cell_id_xenium,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
7,9256,2370,0.5074626865671642,jcfainek-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.55,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.93
7,9257,2243,0.6785714285714286,jcfedfhl-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.79,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.57
7,9260,2752,0.53,jcfkiigg-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.74,CS20230722_SUBC_046,046 Vip Gaba,0.73,CS20230722_SUPT_0178,0178 Vip Gaba_6,0.77,CS20230722_CLUS_0646,0646 Vip Gaba_6,627,0.41
7,9261,2815,0.8548387096774194,jcfoleac-1,CS20230722_CLAS_01,01 IT-ET Glut,0.75,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.96,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.6,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.83
7,9262,2675,0.7319587628865979,jcfpcaik-1,CS20230722_CLAS_01,01 IT-ET Glut,0.93,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.97,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.85,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.98
7,9264,2245,0.6938775510204082,jcginlhn-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.61,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
7,9267,2246,0.4285714285714285,jchhpcmg-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.6,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.99
7,9268,2765,0.5106382978723404,jchkfgbj-1,CS20230722_CLAS_01,01 IT-ET Glut,0.91,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.85,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.95
7,9270,2863,0.5714285714285714,jciffecb-1,CS20230722_CLAS_01,01 IT-ET Glut,0.53,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.76,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.61,CS20230722_CLUS_0112,0112 L2/3 IT CTX Glut_2,236,0.5
7,9276,2449,0.6,jcjgejpf-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.7,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.79
7,9287,1885,0.4939024390243902,jcmdnfbo-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.91,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.94
7,9290,2873,0.7017543859649122,jcmlbpnk-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.93,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.41
7,9291,2377,0.4692307692307692,jcnamjop-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.7,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.6
7,9294,2328,0.7321428571428571,jcngffkd-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.98,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.99
7,9295,2266,0.7946428571428571,jcnopmgd-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.71,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
